Five-Ways-outbound,"Fri, 08 Mar",15:45-16:33,0.8,2.6,2,2019
Belgrave-Interchange-inbound,"Tue, 12 Mar",14:05-14:49,0.7,2.9,2,2019
Curzon-outbound,"Tue, 12 Mar",07:14-07:55,0.7,2.9,2,2019
Selly-Oak-Inbound,"Fri, 08 Mar",18:39-19:37,1.0,2.0,0,2019
Curzon-outbound,"Sat, 09 Mar",10:48-11:38,0.8,2.5,0,2019
Belgrave-Interchange-inbound,"Fri, 08 Mar",14:26-15:18,0.9,2.2,1,2019
Ashted-Circus-outbound,"Fri, 08 Mar",08:43-09:52,1.1,1.8,1,2019
Ashted-Circus-outbound,"Tue, 12 Mar",14:11-14:52,0.7,2.8,1,2019
Ashted-Circus-outbound,"Sat, 09 Mar",14:09-14:53,0.7,2.8,1,2019
Curzon-Circus-inbound,"Tue, 12 Mar",18:53-19:30,0.6,3.2,1,2019
Selly-Oak-Inbound,"Sun, 10 Mar",15:46-16:33,0.8,2.4,1,2019
Bordesley-outbound,"Sat, 09 Mar",05:44-06:45,1.0,1.9,1,2019
Bristol-Road-inbound,"Fri, 08 Mar",11:28-12:01,0.5,3.8,1,2019
Ashted-Circus-outbound,"Wed, 13 Mar",12:41-13:36,0.9,2.1,1,2019
Dartmouth-outbound,"Wed, 13 Mar",07:09-07:59,0.8,2.3,1,2019
Garrison-Circus-inbound,"Thu, 14 Mar",08:01-08:50,0.8,2.3,1,2019
Bordesley-Circus-inbound,"Tue, 12 Mar",07:59-08:47,0.8,2.3,1,2019
Bordesley-Circus-inbound,"Tue, 12 Mar",16:02-17:02,1.0,1.8,1,2019
Bordesley-Circus-inbound,"Fri, 08 Mar",15:45-16:37,0.9,2.0,1,2019
Bordesley-outbound,"Sat, 09 Mar",07:24-08:24,1.0,1.8,1,2019
Spring-Hill-outbound,"Thu, 07 Mar",18:19-19:02,0.7,2.5,1,2019
Curzon-Circus-inbound,"Fri, 08 Mar",14:52-15:30,0.6,2.9,1,2019
Five-Ways-outbound,"Sun, 10 Mar",11:19-12:10,0.9,1.9,1,2019
Moseley-outbound,"Sun, 10 Mar",14:14-15:10,0.9,1.9,1,2019
Curzon-Circus-inbound,"Mon, 11 Mar",14:54-15:26,0.5,3.4,1,2019
Pershore-outbound,"Tue, 12 Mar",12:06-12:55,0.8,2.1,1,2019
Curzon-Circus-inbound,"Mon, 11 Mar",15:53-16:32,0.6,2.8,1,2019
Curzon-Circus-inbound,"Mon, 11 Mar",10:12-10:52,0.7,2.4,1,2019
Curzon-outbound,"Thu, 07 Mar",11:37-12:14,0.6,2.8,1,2019
Ashted-Circus-inbound,"Tue, 12 Mar",18:49-19:46,0.9,1.8,1,2019
Curzon-Circus-inbound,"Mon, 11 Mar",13:47-14:24,0.6,2.7,1,2019
Bordesley-Circus-inbound,"Tue, 12 Mar",09:03-09:56,0.9,1.8,1,2019
Ashted-Circus-outbound,"Wed, 13 Mar",10:38-11:31,0.9,1.8,1,2019
Ashted-Circus-inbound,"Wed, 13 Mar",18:45-19:45,1.0,1.6,1,2019
Curzon-Circus-inbound,"Mon, 11 Mar",05:31-06:17,0.8,2.0,1,2019
Bordesley-Circus-inbound,"Fri, 08 Mar",12:07-12:57,0.8,2.0,1,2019
Ashted-Circus-outbound,"Sat, 09 Mar",11:52-12:24,0.5,3.2,1,2019
Curzon-outbound,"Mon, 11 Mar",05:07-05:52,0.8,2.0,1,2019
Belgrave-Interchange-inbound,"Fri, 08 Mar",16:15-16:58,0.7,2.2,1,2019
St-Chads-outbound,"Thu, 07 Mar",16:49-17:33,0.7,2.2,1,2019
Five-Ways-outbound,"Sat, 09 Mar",16:28-17:25,0.9,1.7,1,2019
Bordesley-Circus-inbound,"Sun, 10 Mar",14:56-15:50,0.9,1.7,1,2019
Bordesley-outbound,"Mon, 11 Mar",06:49-07:36,0.8,1.9,1,2019
Curzon-Circus-inbound,"Tue, 12 Mar",14:27-15:07,0.7,2.1,1,2019
Dartmouth-outbound,"Sat, 09 Mar",18:33-19:26,0.9,1.6,1,2019
Five-Ways-outbound,"Sat, 09 Mar",17:45-18:36,0.8,1.8,1,2019
Ashted-Circus-outbound,"Wed, 13 Mar",14:12-14:59,0.8,1.8,1,2019
Moseley-outbound,"Thu, 07 Mar",18:01-18:37,0.6,2.4,1,2019
Ashted-Circus-outbound,"Fri, 08 Mar",12:43-13:23,0.7,2.0,1,2019
Curzon-Circus-inbound,"Mon, 11 Mar",19:06-19:41,0.6,2.3,1,2019
